__atable_index,file_path,task_name,task_apply_time,task_label,param_dict,family_label,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,compression_memory_kb,decompression_memory_kb,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,row_created,row_updated
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'LZ77Huffman__compression_level=9')",data/D1/1_1_0400_s32be-1x2463x2527.raw,LZ77Huffman__compression_level=9,4.345000000016697e-06,LZ77 Huffman level 9,{'compression_level': 9},No family,4008735,6.210438953934346,True,31.538056588,0.134111382,1,94b799647761fcdcbb540aec5e78f2ba48d23ddf5b64ae2d6d904932bc0c7ca6,-1,-1,5.15261485337165,3.687448128898518,1.6423598133860364,1.276288494867682,2025-01-19T20:00:29.167205,2025-01-19T20:00:29.168243
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'Lz4__compression_level=9')",data/D1/1_1_0400_s32be-1x2463x2527.raw,Lz4__compression_level=9,5.0300000000724765e-06,LZ4 level 9,{'compression_level': 9},No family,5480889,4.542329538146093,True,10.59,0.04,1,e215d1acb67ebdde43450420777dc086265434bab1e0bda76c327ac379548aba,7040,7040,7.044843341124142,2.6970081632742424,1.2012257986823074,0.9334803823747201,2025-01-19T20:00:11.257076,2025-01-19T20:00:11.258113
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'RLECodec__packbits=True')",data/D1/1_1_0400_s32be-1x2463x2527.raw,RLECodec__packbits=True,1.1510999999853055e-05,RLE packbits,{'packbits': True},No family,21399895,1.1633703810228975,True,0.51,0.28,1,d8979a0ab3d13dd5270e7b8c59304c4090459e6cd793285790f4b3174d388080,1280,1280,27.506287354388277,0.6907511637323455,0.30765502664915284,0.23908072256772275,2025-01-19T20:00:12.298339,2025-01-19T20:00:12.299385
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'Zfp')",data/D1/1_1_0400_s32be-1x2463x2527.raw,Zfp,4.61200000012596e-06,ZFP,{},No family,5635912,4.4173869286816405,True,0.41000000000000003,0.4,1,7667bb0094d72290b940539cc4adc9f4f0fd5722f2e513545d7a435b7eae5b03,31744,31872,7.244101663865414,2.6228234889047237,1.1681845398782085,0.9078038052179305,2025-01-19T20:00:12.634524,2025-01-19T20:00:12.635867
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'Zstandard__compression_level=22')",data/D1/1_1_0400_s32be-1x2463x2527.raw,Zstandard__compression_level=22,4.6410000003049845e-06,Zstandard 22,{'compression_level': 22},No family,3271249,7.610549976476875,True,26.98,0.09,1,aa9d71479f4ad0720f8debec97834943df0cb2a1fb8722d0b854e2d3e685943d,420480,26368,4.2046895558018065,4.518764048533145,2.0126212546076663,1.564021069467166,2025-01-19T20:00:39.686218,2025-01-19T20:00:39.687266
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0600_s32be-1x2463x2527.raw,ArithmeticCodec,5.669999999735609e-06,Arithmetic Coder,{},No family,6699819,3.715921877889537,True,12.09,29.87,1,7cec78cec6a68641cef060fa18c5b7aa58337cb8c21e2e24da2b31936a5a0d07,3968,3968,8.611591161376742,2.2063286149969126,0.9998465957191005,0.7793641888256859,2025-01-19T20:00:54.753261,2025-01-19T20:00:54.754476
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0600_s32be-1x2463x2527.raw,BWT,1.576000000000355e-05,BWT,{},No family,24920320,0.9990242500898865,True,148.54,0.18,1,fe5d8ea9983c045bc1d425a16435a4fb97ae9a98482f18878838c5fb7a65fe9d,1536,1536,32.03125449369304,0.5931706484908701,0.26880839487952596,0.2095317796968064,2025-01-19T20:02:49.168921,2025-01-19T20:02:49.169955
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0600_s32be-1x2463x2527.raw,BZIP2__compression_level=9,4.658000001711571e-06,BZIP2 level 9,{'compression_level': 9},No family,2794940,8.907527174107495,True,2.453477373,0.963876866,1,1236feb90e1a772076ec2e820b2fd2325b563a94ec312e62b502dc1494375de1,-1,-1,3.592467289128006,5.288844259626325,2.396756717168937,1.8682329496210717,2025-01-19T20:00:32.646813,2025-01-19T20:00:32.647843
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0600_s32be-1x2463x2527.raw,FSE,4.676999999730924e-06,FSE,{},No family,5553720,4.4827618245068175,True,0.17,0.11,1,0913fa716c81ad43f5727703dc43fdbd76530482c56ac689cf464ae8e24d98d6,1792,1792,7.138456436623323,2.6616398333009226,1.2061809416182574,0.9401984616102214,2025-01-19T20:00:33.043930,2025-01-19T20:00:33.044978
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0600_s32be-1x2463x2527.raw,FSEHuffman,5.036000004565722e-06,Huffman (block adaptive),{},No family,6138907,4.0554457006760325,True,0.11,0.06999999999999999,1,8b6e81e9de2050262010b9f04d6827d54b7d6920fcaa1dd7a64b8640d6f68358,1920,1792,7.890624696236392,2.407920884776394,1.0912025901490523,0.8505747033167171,2025-01-19T20:00:33.341806,2025-01-19T20:00:33.342891
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0600_s32be-1x2463x2527.raw,HuffmanCodec,1.4501999999083637e-05,Huffman,{},No family,7093202,3.509839984819268,True,5.58,6.8,1,d028d5de65a16ea4b346663e3ac00852ff0d5032ad48702770183287b7bfc795,4224,4224,9.117224756229955,2.0839674909864403,0.9443959468635108,0.7361413082855837,2025-01-19T20:00:45.862446,2025-01-19T20:00:45.863739
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'LPAQ8__N=9')",data/D1/1_1_0600_s32be-1x2463x2527.raw,LPAQ8__N=9,4.039999999427835e-06,LPAQ8 N9,{'N': 9},No family,2511237,9.913840868066217,True,27.16,27.36,1,c8d580f9b902cd21349b02bf2e6df4f4c85629b72066f247ad68a93118de46d3,560128,560128,3.227810535377485,5.886343015414316,2.6675264895683477,2.0792935912516097,2025-01-19T20:01:34.411753,2025-01-19T20:01:34.412757
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'LZ77Huffman__compression_level=9')",data/D1/1_1_0600_s32be-1x2463x2527.raw,LZ77Huffman__compression_level=9,3.25999999972737e-06,LZ77 Huffman level 9,{'compression_level': 9},No family,4097163,6.076400670415114,True,31.046296992,0.138589281,1,cb4baa60f32a16c1f9448c1300838fc594f6c2a89926983de9056021692acbd6,-1,-1,5.26627550349044,3.607862898058974,1.634982845223426,1.274442583859592,2025-01-19T20:01:15.245148,2025-01-19T20:01:15.246542
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'Lz4__compression_level=9')",data/D1/1_1_0600_s32be-1x2463x2527.raw,Lz4__compression_level=9,4.25199999654069e-06,LZ4 level 9,{'compression_level': 9},No family,5555067,4.481674838485296,True,11.26,0.04,1,ff0d96654e9668c8169b9a769e5dca5d54cc55a5d7739c1c04e07b3fc643c154,7296,7040,7.140187798813014,2.660994435350645,1.2058884652667823,0.9399704810426082,2025-01-19T20:00:57.282268,2025-01-19T20:00:57.283280
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'RLECodec__packbits=True')",data/D1/1_1_0600_s32be-1x2463x2527.raw,RLECodec__packbits=True,5.128999999826078e-06,RLE packbits,{'packbits': True},No family,21606458,1.1522482768809215,True,0.51,0.29000000000000004,1,f805496423be15c47bf1802d307c44d0c93172065c49e885e07b72cf17dfd6e0,1280,1280,27.77179245311818,0.684147414398047,0.3100365279253151,0.2416684400661098,2025-01-19T20:00:55.768619,2025-01-19T20:00:55.769663
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'Zfp')",data/D1/1_1_0600_s32be-1x2463x2527.raw,Zfp,3.211999999752635e-06,ZFP,{},No family,5678144,4.384531987917178,True,0.36000000000000004,0.35,1,d1125b5136335a1c2fd78d9650a70323d48ffe838021bfb447d986f1483e80ef,31872,31872,7.298384431493504,2.603315867825825,1.1797501470699137,0.9195960863644738,2025-01-19T20:00:56.596985,2025-01-19T20:00:56.598005
"('data/D1/1_1_0600_s32be-1x2463x2527.raw', 'Zstandard__compression_level=22')",data/D1/1_1_0600_s32be-1x2463x2527.raw,Zstandard__compression_level=22,1.3884999999991265e-05,Zstandard 22,{'compression_level': 22},No family,3349087,7.43366893723573,True,26.38,0.09,1,66de7dbed433d676f9aa11adf4e4057942489001eb5f03ad842f0eddf0aa1ea5,420480,26368,4.304738382914784,4.413740931483715,2.0001842947299213,1.5591111846941923,2025-01-19T20:01:23.343811,2025-01-19T20:01:23.344839
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0800_s32be-1x2463x2527.raw,ArithmeticCodec,4.38000000002603e-06,Arithmetic Coder,{},No family,1305551,19.06934619942078,True,8.879999999999999,26.97,1,bdb76f01dca0a3575ba0fa38c5787097aa7cef4742d71ef5d5fe4a0142df8e8d,3968,3968,1.6780858486365924,1.1918341374637988,0.9992125679905253,0.5002075915947981,2025-01-19T20:01:33.408231,2025-01-19T20:01:33.409243
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0800_s32be-1x2463x2527.raw,BWT,1.2333999990232769e-05,BWT,{},No family,24920320,0.9990242500898865,True,762.05,0.19,1,42070198a19a1a3db7c113c39fcd316d1c601c46d01bf3a1fb4c54dff0964ef2,1536,1408,32.03125449369304,0.062439015630617906,0.05234776147949136,0.026205382652156165,2025-01-19T20:14:10.425926,2025-01-19T20:14:10.426941
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0800_s32be-1x2463x2527.raw,BZIP2__compression_level=9,5.550999999992534e-06,BZIP2 level 9,{'compression_level': 9},No family,4200,5927.62,True,0.508627369,0.13800026,1,f322dfee60702ed1a92e6717cbbf5e50c86764c904b1e627ed1452d1ac6a58bd,-1,-1,0.00539845671618626,370.47625,310.6007065125234,155.48726700337625,2025-01-19T20:01:16.943015,2025-01-19T20:01:16.944062
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0800_s32be-1x2463x2527.raw,FSE,4.20200000006421e-06,FSE,{},No family,349227,71.28888659811527,True,0.17,0.09999999999999999,1,4ee2a26227e552e8773fa5e7da099d3ec42ecc64281a910b40fdce965885b0d0,1920,1664,0.44887781991037595,4.455555412382204,3.7354585050772084,1.8699771822172406,2025-01-19T20:01:17.295355,2025-01-19T20:01:17.296619
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0800_s32be-1x2463x2527.raw,FSEHuffman,4.547999999937602e-06,Huffman (block adaptive),{},No family,2980073,8.354159109525169,True,0.11,0.06999999999999999,1,303988664fbd774d78d60da692cf5724b1df156136d51215afed01c715d0d35a,1920,1792,3.830427405136985,0.522134944345323,0.43774866164439535,0.2191377598515809,2025-01-19T20:01:17.578775,2025-01-19T20:01:17.579826
"('data/D1/1_1_0800_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0800_s32be-1x2463x2527.raw,HuffmanCodec,4.894000000033039e-06,Huffman,{},No family,3376058,7.374282076907447,True,5.079999999999999,3.23,1,0a02bce06245e5ddd4b09021fdf0d16036590e4391cc9142118307a0228f6b95,4224,4096,4.339405472460561,0.4608926298067154,0.3864041931011251,0.19343462743062478,2025-01-19T20:01:26.004670,2025-01-19T20:01:26.005694
